Time	Node	Type	Packets	
152	2	CacheHits	1
152	2	CacheMisses	189
153	0	CacheHits	0
153	0	CacheMisses	152
153	1	CacheHits	0
153	1	CacheMisses	152
153	2	CacheHits	1
153	2	CacheMisses	153
154	0	CacheHits	0
154	0	CacheMisses	0
154	1	CacheHits	0
154	1	CacheMisses	0
154	2	CacheHits	0
154	2	CacheMisses	0
155	0	CacheHits	0
155	0	CacheMisses	122
155	1	CacheHits	0
155	1	CacheMisses	131
155	2	CacheHits	1
155	2	CacheMisses	140
156	0	CacheHits	0
156	0	CacheMisses	109
156	1	CacheHits	0
156	1	CacheMisses	100
156	2	CacheHits	0
156	2	CacheMisses	92
157	0	CacheHits	0
157	0	CacheMisses	0
157	1	CacheHits	0
157	1	CacheMisses	0
157	2	CacheHits	0
157	2	CacheMisses	0
158	0	CacheHits	0
158	0	CacheMisses	117
158	1	CacheHits	0
158	1	CacheMisses	117
158	2	CacheHits	1
158	2	CacheMisses	118
159	0	CacheHits	0
159	0	CacheMisses	0
159	1	CacheHits	0
159	1	CacheMisses	0
159	2	CacheHits	0
159	2	CacheMisses	0
160	0	CacheHits	0
160	0	CacheMisses	31
160	1	CacheHits	0
160	1	CacheMisses	31
160	2	CacheHits	1
160	2	CacheMisses	32
161	0	CacheHits	0
161	0	CacheMisses	227
161	1	CacheHits	0
161	1	CacheMisses	227
161	2	CacheHits	1
161	2	CacheMisses	228
162	0	CacheHits	0
162	0	CacheMisses	0
162	1	CacheHits	0
162	1	CacheMisses	0
162	2	CacheHits	0
162	2	CacheMisses	0
163	0	CacheHits	0
163	0	CacheMisses	114
163	1	CacheHits	0
163	1	CacheMisses	123
163	2	CacheHits	1
163	2	CacheMisses	132
164	0	CacheHits	0
164	0	CacheMisses	47
164	1	CacheHits	0
164	1	CacheMisses	38
164	2	CacheHits	0
164	2	CacheMisses	30
165	0	CacheHits	0
165	0	CacheMisses	0
165	1	CacheHits	0
165	1	CacheMisses	0
165	2	CacheHits	0
165	2	CacheMisses	0
166	0	CacheHits	0
166	0	CacheMisses	96
166	1	CacheHits	0
166	1	CacheMisses	96
166	2	CacheHits	1
166	2	CacheMisses	97
167	0	CacheHits	0
167	0	CacheMisses	0
167	1	CacheHits	0
167	1	CacheMisses	0
167	2	CacheHits	0
167	2	CacheMisses	0
168	0	CacheHits	0
168	0	CacheMisses	79
168	1	CacheHits	0
168	1	CacheMisses	79
168	2	CacheHits	1
168	2	CacheMisses	80
169	0	CacheHits	0
169	0	CacheMisses	0
169	1	CacheHits	0
169	1	CacheMisses	0
169	2	CacheHits	0
169	2	CacheMisses	0
170	0	CacheHits	0
170	0	CacheMisses	101
170	1	CacheHits	0
170	1	CacheMisses	101
170	2	CacheHits	1
170	2	CacheMisses	102
171	0	CacheHits	0
171	0	CacheMisses	65
171	1	CacheHits	0
171	1	CacheMisses	65
171	2	CacheHits	1
171	2	CacheMisses	66
172	0	CacheHits	0
172	0	CacheMisses	0
172	1	CacheHits	0
172	1	CacheMisses	0
172	2	CacheHits	0
172	2	CacheMisses	0
173	0	CacheHits	0
173	0	CacheMisses	73
173	1	CacheHits	0
173	1	CacheMisses	73
173	2	CacheHits	1
173	2	CacheMisses	74
174	0	CacheHits	0
174	0	CacheMisses	0
174	1	CacheHits	0
174	1	CacheMisses	0
174	2	CacheHits	0
174	2	CacheMisses	0
175	0	CacheHits	0
175	0	CacheMisses	20
175	1	CacheHits	0
175	1	CacheMisses	28
175	2	CacheHits	1
175	2	CacheMisses	37
176	0	CacheHits	0
176	0	CacheMisses	113
176	1	CacheHits	0
176	1	CacheMisses	105
176	2	CacheHits	0
176	2	CacheMisses	97
177	0	CacheHits	0
177	0	CacheMisses	0
177	1	CacheHits	0
177	1	CacheMisses	0
177	2	CacheHits	0
177	2	CacheMisses	0
178	0	CacheHits	0
178	0	CacheMisses	172
178	1	CacheHits	0
178	1	CacheMisses	172
178	2	CacheHits	1
178	2	CacheMisses	173
179	0	CacheHits	0
179	0	CacheMisses	0
179	1	CacheHits	0
179	1	CacheMisses	0
179	2	CacheHits	0
179	2	CacheMisses	0
180	0	CacheHits	0
180	0	CacheMisses	249
180	1	CacheHits	0
180	1	CacheMisses	249
180	2	CacheHits	1
180	2	CacheMisses	250
181	0	CacheHits	0
181	0	CacheMisses	123
181	1	CacheHits	0
181	1	CacheMisses	132
181	2	CacheHits	1
181	2	CacheMisses	140
182	0	CacheHits	0
182	0	CacheMisses	160
182	1	CacheHits	0
182	1	CacheMisses	151
182	2	CacheHits	0
182	2	CacheMisses	143
183	0	CacheHits	0
183	0	CacheMisses	0
183	1	CacheHits	0
183	1	CacheMisses	0
183	2	CacheHits	0
183	2	CacheMisses	0
184	0	CacheHits	0
184	0	CacheMisses	87
184	1	CacheHits	0
184	1	CacheMisses	87
184	2	CacheHits	1
184	2	CacheMisses	88
185	0	CacheHits	0
185	0	CacheMisses	0
185	1	CacheHits	0
185	1	CacheMisses	0
185	2	CacheHits	0
185	2	CacheMisses	0
186	0	CacheHits	0
186	0	CacheMisses	91
186	1	CacheHits	0
186	1	CacheMisses	91
