Time	Node	Type	Packets	
154	2	CacheMisses	617
155	0	CacheHits	0
155	0	CacheMisses	0
155	1	CacheHits	0
155	1	CacheMisses	0
155	2	CacheHits	0
155	2	CacheMisses	0
156	0	CacheHits	0
156	0	CacheMisses	140
156	1	CacheHits	0
156	1	CacheMisses	148
156	2	CacheHits	1
156	2	CacheMisses	158
157	0	CacheHits	0
157	0	CacheMisses	774
157	1	CacheHits	0
157	1	CacheMisses	775
157	2	CacheHits	1
157	2	CacheMisses	775
158	0	CacheHits	0
158	0	CacheMisses	643
158	1	CacheHits	0
158	1	CacheMisses	634
158	2	CacheHits	0
158	2	CacheMisses	626
159	0	CacheHits	0
159	0	CacheMisses	0
159	1	CacheHits	0
159	1	CacheMisses	0
159	2	CacheHits	0
159	2	CacheMisses	0
160	0	CacheHits	0
160	0	CacheMisses	131
160	1	CacheHits	0
160	1	CacheMisses	140
160	2	CacheHits	1
160	2	CacheMisses	149
161	0	CacheHits	0
161	0	CacheMisses	100
161	1	CacheHits	0
161	1	CacheMisses	91
161	2	CacheHits	0
161	2	CacheMisses	83
162	0	CacheHits	0
162	0	CacheMisses	675
162	1	CacheHits	0
162	1	CacheMisses	683
162	2	CacheHits	1
162	2	CacheMisses	692
163	0	CacheHits	0
163	0	CacheMisses	390
163	1	CacheHits	0
163	1	CacheMisses	382
163	2	CacheHits	0
163	2	CacheMisses	374
164	0	CacheHits	0
164	0	CacheMisses	384
164	1	CacheHits	0
164	1	CacheMisses	392
164	2	CacheHits	1
164	2	CacheMisses	402
165	0	CacheHits	0
165	0	CacheMisses	391
165	1	CacheHits	0
165	1	CacheMisses	383
165	2	CacheHits	0
165	2	CacheMisses	374
166	0	CacheHits	0
166	0	CacheMisses	383
166	1	CacheHits	0
166	1	CacheMisses	391
166	2	CacheHits	1
166	2	CacheMisses	401
167	0	CacheHits	0
167	0	CacheMisses	247
167	1	CacheHits	0
167	1	CacheMisses	239
167	2	CacheHits	0
167	2	CacheMisses	230
168	0	CacheHits	0
168	0	CacheMisses	433
